GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:21806943		3702	UniProt		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SYH1	RSH3	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000314	IDA	PMID:26908759		3702	TAIR		P
UniProtKB	Q9SYP2	PFP-ALPHA1	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:19533038		3702	TAIR		P
UniProtKB	Q9SYP2	PFP-ALPHA1	involved_in	GO:0015979	photosynthesis	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR43650:SF17	3702	TreeGrafter		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF80	3702	TreeGrafter		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:21806943		3702	UniProt		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SYX1	LIL3.1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SZC9	PAA1	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:15772282		3702	TAIR		P
UniProtKB	Q9SZC9	PAA1	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:12782727		3702	UniProt		P
